cur_rate,cur_ee,per_ee,b_type,p_type,tenure,area,water_ee,wind_ee,wall_ee,roof_ee,heat_ee,con_ee,light_ee,pv,sol_wat,quality_index,build_year,building_age,fuel_group,is_community_heating,has_boiler,has_air_hp,has_ground_hp,has_micro_chp,has_community,has_storage_heaters,has_room_heaters,has_electric_underfloor,has_electric_ceiling,has_radiators,has_underfloor,has_warm_air,uses_gas,uses_oil,uses_electricity,uses_biomass,uses_coal,floor_type,floor_boundary,floor_insulation,floor_u_value,floor_ins_num,dhw_no_cylinder_stat,dhw_has_solar,dhw_has_waste_heat,dhw_system,dhw_energy,wall_type,wall_insulation,wall_u_value,roof_type,roof_boundary,roof_insulation_type,roof_insulation_mm,roof_u_value,has_time_control,has_temp_control,has_room_control,glazing_type,glazing_quality,glazing_level,glazing_coverage
c,74.0,89.0,semi-detached,house,owner-occupied,71.0,4,3,4,5,4,4,5,no,no,4.4,1986,38,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,timber_frame,insulated_as_built,,pitched,external,loft,300.0,,1,1,1,double,unknown,double,full
e,45.0,77.0,semi-detached,house,owner-occupied,128.0,2,3,1,1,4,4,5,no,no,3.0,1940,84,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,suspended,ground,none,,0.0,1,0,0,boiler,unknown,solid,none,,pitched,external,none,,,1,1,1,unknown,unknown,double,full
b,82.0,82.0,mid-terrace,flat,rented (social),68.0,4,3,5,4,4,4,5,no,no,4.4,2018,6,gas,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,unknown,dwelling_below,unknown,,,0,0,0,community,community,cavity,insulated_as_built,,pitched,external,insulated,,,1,0,1,double,unknown,double,full
c,70.0,84.0,semi-detached,house,rented (social),72.0,4,3,3,3,4,4,5,no,no,3.8,1940,84,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,cavity,filled_cavity,,pitched,external,loft,100.0,,1,1,1,unknown,unknown,double,full
d,63.0,69.0,end-terrace,flat,rented (private),33.0,4,3,2,1,4,3,5,no,no,3.0,1971,53,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,unknown,dwelling_below,unknown,,,0,0,0,boiler,unknown,solid,none,,pitched,external,limited,,,1,1,0,double,unknown,double,full
c,72.0,90.0,semi-detached,house,owner-occupied,63.0,4,3,4,4,4,4,4,no,no,4.0,1986,38,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,timber_frame,insulated_as_built,,pitched,external,loft,270.0,,1,1,1,secondary,unknown,secondary,mostly
c,69.0,86.0,mid-terrace,house,owner-occupied,97.0,4,2,2,1,4,3,5,no,no,3.0,1915,109,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,suspended,ground,none,,0.0,0,0,0,boiler,unknown,solid,none,,pitched,external,none,,,1,1,0,double,unknown,double,partial
c,69.0,84.0,semi-detached,house,rented (private),70.0,4,3,3,4,4,4,5,no,no,4.0,1915,109,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,cavity,filled_cavity,,pitched,external,loft,250.0,,1,1,1,double,unknown,double,full
e,49.0,81.0,semi-detached,house,owner-occupied,91.0,3,3,3,3,3,2,5,no,no,3.2,1971,53,electricity,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,suspended,ground,none,,0.0,0,0,0,electric_immersion,electricity,cavity,filled_cavity,,pitched,external,loft,100.0,,1,0,0,double,unknown,double,mostly
d,58.0,71.0,semi-detached,house,owner-occupied,87.0,4,3,3,1,4,4,5,no,no,3.4,1940,84,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,suspended,ground,none,,0.0,0,0,0,boiler,unknown,cavity,filled_cavity,,pitched,external,none,,,1,1,1,double,unknown,double,mostly
c,79.0,88.0,detached,house,owner-occupied,127.0,4,3,5,4,4,4,5,no,no,4.4,2018,6,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,insulated,,2.0,0,0,0,boiler,unknown,cavity,insulated_as_built,,pitched,external,loft,200.0,,1,1,1,double,unknown,double,full
d,65.0,78.0,semi-detached,house,unknown,82.0,4,4,3,1,4,4,5,no,no,3.4,1971,53,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,cavity,filled_cavity,,pitched,external,limited,,,1,1,1,double,modern,double,full
d,62.0,76.0,semi-detached,house,owner-occupied,85.0,4,4,3,1,4,4,5,no,no,3.4,1940,84,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,suspended,ground,none,,0.0,0,0,0,boiler,unknown,cavity,filled_cavity,,pitched,external,none,,,1,1,1,double,modern,double,full
d,61.0,77.0,mid-terrace,flat,owner-occupied,58.0,1,3,3,0,3,2,3,no,no,2.2,1971,53,electricity,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,solid,ground,none,,0.0,0,0,0,electric_immersion,electricity,cavity,filled_cavity,,dwelling_above,dwelling_above,unknown,,,1,0,0,double,unknown,double,full
d,63.0,80.0,detached,bungalow,owner-occupied,79.0,4,3,4,4,4,4,4,no,no,4.0,1993,31,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,cavity,insulated_as_built,,pitched,external,loft,250.0,,1,1,1,double,unknown,double,full
c,73.0,76.0,semi-detached,flat,rented (social),49.0,4,3,4,0,4,4,5,no,no,3.4,1993,31,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,cavity,insulated_as_built,,dwelling_above,dwelling_above,unknown,,,1,1,1,double,old,double,full
f,38.0,79.0,detached,house,owner-occupied,160.0,2,3,3,4,3,3,5,no,no,3.6,1979,45,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,1,0,0,boiler,unknown,cavity,partial,,pitched,external,loft,270.0,,1,1,0,secondary,unknown,secondary,partial
b,81.0,81.0,semi-detached,maisonette,unknown,40.0,4,5,5,0,4,5,5,no,unknown,3.8,2018,6,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,unknown,unknown,unknown,0.16,,0,0,0,boiler,unknown,unknown,unknown,0.24,dwelling_above,premises_above,unknown,,,1,1,1,unknown,unknown,high_performance,unknown
c,74.0,78.0,mid-terrace,flat,owner-occupied,56.0,4,3,3,3,4,4,5,no,no,3.8,1979,45,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,unknown,dwelling_below,unknown,,,0,0,0,boiler,unknown,cavity,partial,,pitched,external,loft,100.0,,1,1,1,double,unknown,double,full
e,39.0,46.0,end-terrace,house,unknown,112.0,4,4,2,1,4,4,5,no,unknown,3.2,1915,109,gas,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,unknown,unknown,unknown,0.65,,0,0,0,boiler,unknown,unknown,unknown,1.56,unknown,external,unknown,,1.87,1,1,1,unknown,unknown,double,full
c,71.0,110.0,mid-terrace,house,owner-occupied,70.0,4,3,3,4,4,4,4,no,no,3.8,1958,66,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,cavity,filled_cavity,,pitched,external,loft,250.0,,1,1,1,double,unknown,double,full
c,77.0,81.0,mid-terrace,flat,rented (private),60.0,4,3,2,0,4,4,5,no,no,3.0,1958,66,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,unknown,dwelling_below,unknown,,,0,0,0,boiler,unknown,cavity,none,,dwelling_above,dwelling_above,unknown,,,1,1,1,double,old,double,full
d,66.0,75.0,detached,flat,owner-occupied,51.0,4,3,2,0,4,3,3,no,no,2.4,1971,53,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,cavity,none,,dwelling_above,dwelling_above,unknown,,,1,1,0,double,old,double,full
c,71.0,85.0,mid-terrace,house,owner-occupied,126.0,4,3,1,3,4,4,5,no,no,3.4,1915,109,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,solid,none,,pitched,external,loft,100.0,,1,1,1,double,unknown,double,full
c,75.0,85.0,end-terrace,house,rented (social),112.0,4,3,4,4,4,4,5,no,no,4.2,1999,25,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,limited,,1.0,0,0,0,boiler,unknown,cavity,filled_cavity,,pitched,external,loft,200.0,,1,1,1,double,old,double,full
d,55.0,77.0,mid-terrace,house,rented (private),111.0,4,3,1,1,4,4,5,no,no,3.0,1915,109,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,unknown,unheated_space,none,,0.0,0,0,0,boiler,unknown,solid,none,,pitched,external,none,,,1,1,1,double,unknown,double,full
d,57.0,76.0,end-terrace,flat,rented (private),75.0,4,3,2,1,4,4,5,no,no,3.2,1958,66,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,unknown,dwelling_below,unknown,,,0,0,0,boiler,unknown,cavity,none,,flat,external,none,,,1,1,1,double,unknown,double,full
a,97.0,97.0,end-terrace,house,unknown,85.0,5,4,5,5,5,5,4,no,unknown,4.8,2018,6,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,unknown,unknown,unknown,0.11,,0,0,1,boiler,unknown,unknown,unknown,0.21,unknown,external,unknown,,0.09,1,1,1,unknown,unknown,high_performance,unknown
